;;THROUGH SELF-DECLARATION;THROUGH A CUSTOMS AGENT
2012;1st quarter;23.09%;76.91%
;2nd quarter;22.41%;77.59%
;3rd quarter;22.50%;77.50%
;4th quarter;23.89%;76.11%
2013;1st quarter;24.32%;75.68%
;2nd quarter;23.39%;76.61%
;3rd quarter;22.80%;77.20%
;4th quarter;23.12%;76.88%
2014;1st quarter;18.84%;81.16%
;2nd quarter;18.52%;81.48%
;3rd quarter;22.57%;77.43%
;4th quarter;23.18%;76.82%
2015;1st quarter;23.43%;76.57%
;2nd quarter;23.54%;76.46%
;3rd quarter;23.65%;76.35%
;4th quarter;25.55%;74.45%
2016;1st quarter;28.17%;71.83%
;2nd quarter;31.83%;68.17%
;3rd quarter;31.12%;68.88%
;4th quarter;32.75%;67.25%
2017;1st quarter;35.17%;64.83%
;2nd quarter;31.84%;68.16%
;3rd quarter;31.51%;68.49%
;4th quarter;33.45%;66.55%
2018;1st quarter;32.95%;67.05%
;2nd quarter;31.14%;68.86%
;3rd quarter;37.48%;62.52%
;4th quarter;49.4%;50.6%
2019;1st quarter;44.9%;55.1%
;2nd quarter;47.4%;52.6%
;3rd quarter;48․5%;51․5%
;4th quarter;44.1%;55.9%
2020;1-st quarter;33.0%;67.0%
;2-nd quarter;30.7%;69.3%
;3-rd quarter;29.6%;70.4%
;4-th quarter;30.3%;69.7%
2021;1st quarter;26.1%;73.9%
;2nd quarter;25.2%;74.8%
;3rd quarter;24.94%;75.06%
;4th quarter;27.30%;72.70%
2022;1st quarter;26.05%;73.95%
;2nd quarter;26.07%;73.93%
;3rd quarter;28.10%;71.90%
;4th quarter;26.40%;73.60%
2023;1st quarter;25.48%;74.52%