;;NUMBER OF EXAMINATION CASES;RATIO WITH REGARD TO TOTAL CASES
2014;1st quarter;6719;22.6%
;2nd quarter;8502;24.0%
;3rd quarter;7958;23.3%
;4th quarter;8351;22.9%
2015;1st quarter;4239;22.4%
;2nd quarter;6838;22.6%
;3rd quarter;5435;22.3%
;4th quarter;5707;22.1%
2016;1st quarter;4189;23.0%
;2nd quarter;5006;22.3%
;3rd quarter;5001;22.1%
;4th quarter;6200;24.4%
2017;1st quarter;5800;28.8%
;2nd quarter;6491;22.4%
;3rd quarter;6076;17.8%
;4th quarter;7363;18.9%
2018;1st quarter;5577;16.8%
;2nd quarter;6633;17.1%
;3rd quarter;5975;12.8%
;4th quarter;4848;7.5%
2019;1st quarter;4304;8.3%
;2nd quarter;5569;8.1%
;3rd quarter;5803;6.3%
;4th quarter;5760;4.3%
2020;1-st quarter;3654;11.1%
;2nd quarter;4118;16.6%
;3rd quarter;5464;15.5%
;4rd quarter;6515;18.4%
2021;1st quarter;5022;20.1%
;2nd quarter;7105;21.5%
;3rd quarter;7529;22.36%
;4th quarter;8942;20.92%
2022;1st quarter;3593;9.88%
;2nd quarter;5688;11.80%
;3rd quarter;7425;12.23%
;4th quarter;7226;9.46%
2023;1st quarter;9753;14.16%